title,genres,character_name_and_cast,overview,release_date,tagline,vote_average,vote_count
The Godfather: Part II,"Crime, Drama","Don Michael Corleone - Al Pacino, Kay Corleone - Diane Keaton, Tom Hagen - Robert Duvall","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",8.3,3338
The Silence of the Lambs,"Crime, Drama, Thriller","Clarice Starling - Jodie Foster, Hannibal Lecter - Anthony Hopkins, Jack Crawford - Scott Glenn","FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",1991-02-01,To enter the mind of a killer she must challenge the mind of a madman.,8.1,4443
The Shawshank Redemption,"Crime, Drama","Andy Dufresne - Tim Robbins, Ellis Boyd 'Red' Redding - Morgan Freeman, Warden Samuel Norton - Bob Gunton","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,Fear can hold you prisoner. Hope can set you free.,8.5,8205
The Apartment,"Comedy, Drama, Romance","C.C. Baxter - Jack Lemmon, Fran Kubelik - Shirley MacLaine, Jeff D. Sheldrake - Fred MacMurray","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",1960-06-15,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",8.1,483
Once Upon a Time in America,"Crime, Drama","David 'Noodles' Aaronson - Robert De Niro, Deborah Gelly - Elizabeth McGovern, Maximilian 'Max' Bercovicz - James Woods","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-02-16,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",8.2,1069
C'era una volta il West,Western,"Cheyenne - Jason Robards, Frank - Henry Fonda, Jill McBain - Claudia Cardinale",This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,1968-12-21,There were three men in her life. One to take her... one to love her... and one to kill her.,8.1,1128
pta ni 3,"Action, Drama","Gorobei Katayama - Yoshio Inaba, Kambei Shimada - Takashi Shimura, Kikuchiyo - Toshiru014d Mifune","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",1954-04-26,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,8.2,878
12 Angry Men,Drama,"Juror 1 - Martin Balsam, Juror 2 - John Fiedler, Juror 8 - Henry Fonda","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-03-25,Life is in their hands. Death is on their minds.,8.2,2078
Schindler's List,"Drama, History, War","Amon Goeth - Ralph Fiennes, Itzhak Stern - Ben Kingsley, Oskar Schindler - Liam Neeson",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-11-29,"Whoever saves one life, saves the world entire.",8.3,4329
"Il buono, il brutto, il cattivo",Western,"Blondie - Clint Eastwood, Sentenza/Angel Eyes - Lee Van Cleef, Tuco - Eli Wallach","While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-23,For three men the Civil War wasn't hell. It was practice.,8.1,2311
The Green Mile,"Crime, Drama, Fantasy","Brutus Brutal Howell - David Morse, John Coffey - Michael Clarke Duncan, Paul Edgecomb - Tom Hanks","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,Miracles do happen.,8.2,4048
One Flew Over the Cuckoo's Nest,Drama,"Martini - Danny DeVito, Nurse Mildred Ratched - Louise Fletcher, Randle Patrick McMurphy - Jack Nicholson","While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",1975-11-18,"If he's crazy, what does that make you?",8.2,2919
Psycho,"Drama, Horror, Thriller","Lila Crane - Vera Miles, Norman Bates - Anthony Perkins, Sam Loomis - John Gavin","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",1960-06-16,The master of suspense moves his cameras into the icy blackness of the unexplored!,8.2,2320
Fight Club,Drama,"Robert 'Bob' Paulson - Meat Loaf, The Narrator - Edward Norton, Tyler Durden - Brad Pitt","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground \""fight clubs\"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,Mischief. Mayhem. Soap.,8.3,9413
Cidade de Deus,"Crime, Drama","Benu00e9 - Phellipe Haagensen, Buscapu00e9 - Alexandre Rodrigues, Zu00e9 Pequeno - Leandro Firmino","Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom.",2002-02-05,"If you run you're dead... if you stay, you're dead again. Period.",8.1,1814
